"구분","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","평균"
"조사종수","105","103","121","117","101","111","109.67"
"경기도","106,664","150,165","189,737","173,611","88,653","92,385","133,535.83"
"연천군","0","0","4,099","5,691","0","0","1,631.67"
"성수-팔당댐","0","0","3,423","2,084","0","0","917.83"
"팔당호(경안천 포함)","4,663","6,858","2,315","1,230","2,531","2,589","3,364.33"
"남한강(양평-여주)","0","0","3,294","2,621","0","0","985.83"
"남한강(여주-충주)","3,776","12,566","8,162","13,192","9,748","12,857","10,050.17"
"북한강(청평댐-화천교)","0","0","1,376","1,528","0","0","484.00"
"안양천","565","690","1,934","2,180","969","597","1,155.83"
"한강하구(오두산전망대-일산대교)·김포평야(하성, 사우동)·공릉천","1,174","8,479","14,386","18,697","0","0","7,122.67"
"한강하류(일산대교-행주대교)·이화동 일원(홍도평, 이화리, 태리)","12,081","18,866","16,854","20,593","8,120","16,143","15,442.83"
"임진강(장남교-오두산전망대)","14,315","27,585","30,402","23,082","16,348","18,584","21,719.33"
"대부도","0","0","5,877","4,270","0","0","1,691.17"
"시화호","49,574","30,310","18,841","7,734","7,703","12,831","21,165.50"
"왕송저수지","0","0","470","538","0","0","168.00"
"물왕저수지","0","0","0","0","0","0",""
"발안저수지","0","0","612","157","0","0","128.17"
"서호","0","0","3,658","2,254","0","0","985.33"
"진위천","0","0","5,697","4,862","0","0","1,759.83"
"이동저수지","0","0","579","1,127","0","0","284.33"
"고삼저수지","0","0","1,778","1,285","0","0","510.50"
"청미천","2,374","2,528","5,322","4,623","4,973","2,664","3,747.33"
"남양만(장안면, 우정면)","8,671","24,680","11,717","6,166","0","0","8,539.00"
"남양호","2,192","5,228","6,010","12,978","12,344","4,212","7,160.67"
"아산만","0","0","14,748","9,678","0","0","4,071.00"
"아산호","2,546","7,062","10,579","12,849","7,008","4,610","7,442.33"
"안성천","694","148","2,526","1,794","1,561","1,117","1,306.67"
"공릉천중류","709","1,839","1,669","1,959","3,155","1,519","1,808.33"
"황구지천","1,206","764","4,464","3,229","957","606","1,871.00"
"포천천","275","496","962","826","806","703","678.00"
"복하천","1,849","2,066","3,323","2,764","3,017","1,730","2,458.17"
"경안천","0","0","0","0","0","2,299","383.17"
"공릉천하류","0","0","4,660","3,620","5,485","3,858","2,937.17"
"화성호","0","0","0","0","3,928","5,466","1,565.67"
"신천","0","0","0","0","0","0",""
"원천리천","0","0","0","0","0","0",""